outcome,model,term,est,se,p,icc,n
HS,Mistral-Large-3,(Intercept),0.2417222222218393,0.0073368297077442916,6.145982846234399e-206,0.7027894798098121,108000
HS,Mistral-Large-3,joint_OL_first,0.11669444444445934,0.001893033847673307,0,0.7027894798098121,108000
HS,Mistral-Large-3,joint_HS_first,0.003916666666681541,0.001893033847673307,0.03854953735352639,0.7027894798098121,108000
HS,Mistral-Large-3,confidence,0.013185185185185239,0.0015456556642057073,1.4764044905857543e-17,0.7027894798098121,108000
HS,Mistral-Large-3,batched,0.08792592592592419,0.0015456556642057088,0,0.7027894798098121,108000
HS,Mistral-Medium-3.5,(Intercept),0.3395648148151051,0.0075449528442630524,0,0.7423190376710104,108000
HS,Mistral-Medium-3.5,joint_OL_first,-0.02569444444444647,0.0017725647742288775,1.435455440242713e-47,0.7423190376710104,108000
HS,Mistral-Medium-3.5,joint_HS_first,0.02252777777777575,0.0017725647742288773,5.601923784589109e-37,0.7423190376710104,108000
HS,Mistral-Medium-3.5,confidence,-0.0020185185185178658,0.0014472930776308133,0.1631136812789311,0.7423190376710104,108000
HS,Mistral-Medium-3.5,batched,-0.021500000000003898,0.0014472930776308181,7.222591391619813e-50,0.7423190376710104,108000
HS,Llama-3.1-8B,(Intercept),0.3619422630829482,0.0054549458170599285,0,0.332912737402806,107999
HS,Llama-3.1-8B,joint_OL_first,-0.01419771648673678,0.0027882169717792873,3.5483912421091747e-7,0.332912737402806,107999
HS,Llama-3.1-8B,joint_HS_first,-0.08825000000000995,0.002788197085347371,7.862518386426635e-219,0.332912737402806,107999
HS,Llama-3.1-8B,confidence,-0.12318300382366362,0.002276564211954083,0,0.332912737402806,107999
HS,Llama-3.1-8B,batched,0.11040958876892865,0.002276564211954083,0,0.332912737402806,107999
HS,Llama-3.1-70B,(Intercept),0.3548148148151448,0.007457408829357168,0,0.6877056273740006,108000
HS,Llama-3.1-70B,joint_OL_first,0.04899999999998596,0.0019898117949764937,1.618381853828738e-133,0.6877056273740006,108000
