"model","outcome","cond_a","cond_b","kappa"
"Mistral-Medium-3.5","OL","B_conf","C.OL",0.867417332054883
"Mistral-Medium-3.5","OL","B_conf","C.OL_batch",0.72664221907307
"Mistral-Medium-3.5","OL","B_conf","C.OL_batch_conf",0.71423655068153
"Mistral-Medium-3.5","OL","B_conf","C.OL_conf",0.910641134797346
"Mistral-Medium-3.5","OL","C.OL","C.OL_batch",0.691304807301893
"Mistral-Medium-3.5","OL","C.OL","C.OL_batch_conf",0.690545511602364
"Mistral-Medium-3.5","OL","C.OL","C.OL_conf",0.874413931681179
"Mistral-Medium-3.5","OL","C.OL_batch","C.OL_batch_conf",0.895101227315641
"Mistral-Medium-3.5","OL","C.OL_batch","C.OL_conf",0.726872572200642
"Mistral-Medium-3.5","OL","C.OL_batch_conf","C.OL_conf",0.71848698053656
"Llama-3.1-8B","OL","A","A_batch",0.311058198992935
"Llama-3.1-8B","OL","A","A_batch_conf",0.28864496190121
"Llama-3.1-8B","OL","A","A_conf",0.354093176012651
"Llama-3.1-8B","OL","A","B",0.561160749584881
"Llama-3.1-8B","OL","A","B_batch",0.325055077107951
"Llama-3.1-8B","OL","A","B_batch_conf",0.0855406490081412
"Llama-3.1-8B","OL","A","B_conf",0.535924874426731
"Llama-3.1-8B","OL","A","C.OL",0.423520368946964
"Llama-3.1-8B","OL","A","C.OL_batch",0.25004904554399
"Llama-3.1-8B","OL","A","C.OL_batch_conf",0.203905123836981
"Llama-3.1-8B","OL","A","C.OL_conf",0.508321094046357
"Llama-3.1-8B","OL","A_batch","A_batch_conf",0.501544235505688
"Llama-3.1-8B","OL","A_batch","A_conf",0.194694457603032
"Llama-3.1-8B","OL","A_batch","B",0.368968372774469
"Llama-3.1-8B","OL","A_batch","B_batch",0.447946896160646
"Llama-3.1-8B","OL","A_batch","B_batch_conf",0.095473470932692
"Llama-3.1-8B","OL","A_batch","B_conf",0.417074522116539
"Llama-3.1-8B","OL","A_batch","C.OL",0.369126511662736
"Llama-3.1-8B","OL","A_batch","C.OL_batch",0.532542872496551
"Llama-3.1-8B","OL","A_batch","C.OL_batch_conf",0.470199073073506
"Llama-3.1-8B","OL","A_batch","C.OL_conf",0.358216216857652
"Llama-3.1-8B","OL","A_batch_conf","A_conf",0.187790630473633
"Llama-3.1-8B","OL","A_batch_conf","B",0.358408885428701
"Llama-3.1-8B","OL","A_batch_conf","B_batch",0.390873051789367
"Llama-3.1-8B","OL","A_batch_conf","B_batch_conf",0.0666903697683868
"Llama-3.1-8B","OL","A_batch_conf","B_conf",0.404644886871359
"Llama-3.1-8B","OL","A_batch_conf","C.OL",0.328017490836602
"Llama-3.1-8B","OL","A_batch_conf","C.OL_batch",0.459072900883847
"Llama-3.1-8B","OL","A_batch_conf","C.OL_batch_conf",0.419574781891358
"Llama-3.1-8B","OL","A_batch_conf","C.OL_conf",0.326372254306517
"Llama-3.1-8B","OL","A_conf","B",0.49201932164234
"Llama-3.1-8B","OL","A_conf","B_batch",0.206596835301984
"Llama-3.1-8B","OL","A_conf","B_batch_conf",0.0511118872977063
"Llama-3.1-8B","OL","A_conf","B_conf",0.470368319025201
"Llama-3.1-8B","OL","A_conf","C.OL",0.31067044381492
"Llama-3.1-8B","OL","A_conf","C.OL_batch",0.17032963527678
"Llama-3.1-8B","OL","A_conf","C.OL_batch_conf",0.13106195906031
"Llama-3.1-8B","OL","A_conf","C.OL_conf",0.422257482501375
"Llama-3.1-8B","OL","B","B_batch",0.39842854804387
"Llama-3.1-8B","OL","B","B_batch_conf",0.092702509950077
"Llama-3.1-8B","OL","B","B_conf",0.811497509482246
"Llama-3.1-8B","OL","B","C.OL",0.554809127745788
"Llama-3.1-8B","OL","B","C.OL_batch",0.313388945712797
"Llama-3.1-8B","OL","B","C.OL_batch_conf",0.255696403525022
"Llama-3.1-8B","OL","B","C.OL_conf",0.703546383982698
"Llama-3.1-8B","OL","B_batch","B_batch_conf",0.223021984153554
"Llama-3.1-8B","OL","B_batch","B_conf",0.445890519009307
"Llama-3.1-8B","OL","B_batch","C.OL",0.347118514263833
"Llama-3.1-8B","OL","B_batch","C.OL_batch",0.404129044543536
"Llama-3.1-8B","OL","B_batch","C.OL_batch_conf",0.322935557973643
"Llama-3.1-8B","OL","B_batch","C.OL_conf",0.371152244143284
"Llama-3.1-8B","OL","B_batch_conf","B_conf",0.127714096140206
"Llama-3.1-8B","OL","B_batch_conf","C.OL",0.0989067304407241
"Llama-3.1-8B","OL","B_batch_conf","C.OL_batch",0.0655069297316384
"Llama-3.1-8B","OL","B_batch_conf","C.OL_batch_conf",-0.00195743936312139
"Llama-3.1-8B","OL","B_batch_conf","C.OL_conf",0.101540954219526
"Llama-3.1-8B","OL","B_conf","C.OL",0.581589958158996
"Llama-3.1-8B","OL","B_conf","C.OL_batch",0.372582102617683
"Llama-3.1-8B","OL","B_conf","C.OL_batch_conf",0.310380721888256
"Llama-3.1-8B","OL","B_conf","C.OL_conf",0.703158060595147
"Llama-3.1-8B","OL","C.OL","C.OL_batch",0.340045323230751
"Llama-3.1-8B","OL","C.OL","C.OL_batch_conf",0.287639584135541
"Llama-3.1-8B","OL","C.OL","C.OL_conf",0.527718578156655
"Llama-3.1-8B","OL","C.OL_batch","C.OL_batch_conf",0.542668649167584
"Llama-3.1-8B","OL","C.OL_batch","C.OL_conf",0.313908685627918
"Llama-3.1-8B","OL","C.OL_batch_conf","C.OL_conf",0.250633128445933
"Llama-3.1-70B","OL","A","A_batch",0.698743572411689
"Llama-3.1-70B","OL","A","A_batch_conf",0.678338107365854
"Llama-3.1-70B","OL","A","A_conf",0.836442085524664
"Llama-3.1-70B","OL","A","B",0.874055415617128
"Llama-3.1-70B","OL","A","B_batch",0.787903494143996
"Llama-3.1-70B","OL","A","B_batch_conf",0.752983670273173
"Llama-3.1-70B","OL","A","B_conf",0.837246993052837
"Llama-3.1-70B","OL","A","C.OL",0.880260586871474
"Llama-3.1-70B","OL","A","C.OL_batch",0.671479001535089
"Llama-3.1-70B","OL","A","C.OL_batch_conf",0.693921005003726
"Llama-3.1-70B","OL","A","C.OL_conf",0.885764766807811
"Llama-3.1-70B","OL","A_batch","A_batch_conf",0.801690903434386
"Llama-3.1-70B","OL","A_batch","A_conf",0.630026056453671
"Llama-3.1-70B","OL","A_batch","B",0.683346881675709
"Llama-3.1-70B","OL","A_batch","B_batch",0.804313678708917
"Llama-3.1-70B","OL","A_batch","B_batch_conf",0.710254963445206
"Llama-3.1-70B","OL","A_batch","B_conf",0.63590422678227
"Llama-3.1-70B","OL","A_batch","C.OL",0.712909174562444
"Llama-3.1-70B","OL","A_batch","C.OL_batch",0.808313463023309
"Llama-3.1-70B","OL","A_batch","C.OL_batch_conf",0.809135208983248
"Llama-3.1-70B","OL","A_batch","C.OL_conf",0.673437418676714
"Llama-3.1-70B","OL","A_batch_conf","A_conf",0.620267722105409
"Llama-3.1-70B","OL","A_batch_conf","B",0.669511122025088
"Llama-3.1-70B","OL","A_batch_conf","B_batch",0.765878582760048
"Llama-3.1-70B","OL","A_batch_conf","B_batch_conf",0.693152898087549
"Llama-3.1-70B","OL","A_batch_conf","B_conf",0.629532588246411
"Llama-3.1-70B","OL","A_batch_conf","C.OL",0.692176644180423
"Llama-3.1-70B","OL","A_batch_conf","C.OL_batch",0.845193250425718
"Llama-3.1-70B","OL","A_batch_conf","C.OL_batch_conf",0.858006847007764
"Llama-3.1-70B","OL","A_batch_conf","C.OL_conf",0.654049990292746
"Llama-3.1-70B","OL","A_conf","B",0.834110577480801
"Llama-3.1-70B","OL","A_conf","B_batch",0.705902314322557
"Llama-3.1-70B","OL","A_conf","B_batch_conf",0.714490743374216
"Llama-3.1-70B","OL","A_conf","B_conf",0.889546370667488
"Llama-3.1-70B","OL","A_conf","C.OL",0.830389625764385
"Llama-3.1-70B","OL","A_conf","C.OL_batch",0.619610354206158
"Llama-3.1-70B","OL","A_conf","C.OL_batch_conf",0.647198119555054
"Llama-3.1-70B","OL","A_conf","C.OL_conf",0.853121577732761
"Llama-3.1-70B","OL","B","B_batch",0.774242098473447
"Llama-3.1-70B","OL","B","B_batch_conf",0.775378147797057
"Llama-3.1-70B","OL","B","B_conf",0.867057852755111
"Llama-3.1-70B","OL","B","C.OL",0.878501087095536
"Llama-3.1-70B","OL","B","C.OL_batch",0.664886061260829
"Llama-3.1-70B","OL","B","C.OL_batch_conf",0.689223676627974
"Llama-3.1-70B","OL","B","C.OL_conf",0.886149669396155
"Llama-3.1-70B","OL","B_batch","B_batch_conf",0.803235350605106
"Llama-3.1-70B","OL","B_batch","B_conf",0.713610532066108
"Llama-3.1-70B","OL","B_batch","C.OL",0.798169815475064
"Llama-3.1-70B","OL","B_batch","C.OL_batch",0.779062081713889
"Llama-3.1-70B","OL","B_batch","C.OL_batch_conf",0.782733011790732
"Llama-3.1-70B","OL","B_batch","C.OL_conf",0.776358498968162
"Llama-3.1-70B","OL","B_batch_conf","B_conf",0.725059029321264
"Llama-3.1-70B","OL","B_batch_conf","C.OL",0.782560984531348
"Llama-3.1-70B","OL","B_batch_conf","C.OL_batch",0.697274897457878
"Llama-3.1-70B","OL","B_batch_conf","C.OL_batch_conf",0.700471363485883
"Llama-3.1-70B","OL","B_batch_conf","C.OL_conf",0.7607682044995
"Llama-3.1-70B","OL","B_conf","C.OL",0.842475741264155
"Llama-3.1-70B","OL","B_conf","C.OL_batch",0.632669976474134
"Llama-3.1-70B","OL","B_conf","C.OL_batch_conf",0.658446319867183
"Llama-3.1-70B","OL","B_conf","C.OL_conf",0.865392589475248
"Llama-3.1-70B","OL","C.OL","C.OL_batch",0.690886178958139
"Llama-3.1-70B","OL","C.OL","C.OL_batch_conf",0.707730527546398
"Llama-3.1-70B","OL","C.OL","C.OL_conf",0.885851632967771
"Llama-3.1-70B","OL","C.OL_batch","C.OL_batch_conf",0.876154927305822
"Llama-3.1-70B","OL","C.OL_batch","C.OL_conf",0.651885067584748
"Llama-3.1-70B","OL","C.OL_batch_conf","C.OL_conf",0.673824521747802
"Llama-4","OL","A","A_batch",0.591408393761881
"Llama-4","OL","A","A_batch_conf",0.691489046627111
"Llama-4","OL","A","A_conf",0.898760832590913
"Llama-4","OL","A","B",0.799987531690287
"Llama-4","OL","A","B_batch",0.679339918829926
"Llama-4","OL","A","B_batch_conf",0.696591506527582
"Llama-4","OL","A","B_conf",0.821808510638298
"Llama-4","OL","A","C.OL",0.851657658240822
"Llama-4","OL","A","C.OL_batch",0.645816044418565
